,asset,scenario,param,sharp_ratio,tot_pnl,std_pnl,num_days,max_drawdown,max_dd_period,profit_dd_ratio,all_profit,tot_cost,win_ratio,num_win,num_loss,profit_per_win,profit_per_loss
9,TA,16,16,-0.0463140885,-32,43.0127240062,255,-688,85,-0.0465116279,-424,-320,0.3625,29,51,68.3448275862,-47.1764705882
0,MA,7,7,3.4038001049,367,18.2085110366,94,-119,43,3.0840336134,263,-45,0.4545454545,10,12,49.1,-19
1,MA,8,8,3.0558567572,326,18.0159440303,94,-127,65,2.5669291339,200,-45,0.4090909091,9,13,49.8888888889,-19.1538461538
2,MA,9,9,3.034717306,326,18.1414407838,94,-131,43,2.4885496183,193,-41,0.5,10,10,41.7,-22.4
3,MA,5,5,3.011892694,385,21.5870675886,94,-139,43,2.7697841727,285,-25,0.5833333333,7,5,65,-34
4,MA,14,14,2.9866731479,323,18.263635949,94,-120,43,2.6916666667,200,-53,0.4615384615,12,14,36.25,-16.7857142857
5,MA,0,0,2.8581222024,312,18.4351305387,94,-130,65,2.4,219,-41,0.45,9,11,49.2222222222,-20.3636363636
6,MA,15,15,2.7581551247,300,18.3685545909,94,-110,98,2.7272727273,200,-49,0.4583333333,11,13,38.5454545455,-17.2307692308
7,MA,6,6,2.5404796275,325,21.6042931285,94,-138,43,2.3550724638,231,-23,0.5454545455,6,5,70,-37.8
8,MA,12,12,2.5171409583,287,19.2551442763,94,-136,65,2.1102941176,177,-31,0.5333333333,8,7,49.875,-31.7142857143
9,MA,16,16,2.3122037327,260,18.9897683441,94,-151,98,1.7218543046,135,-49,0.4166666667,10,13,40.4,-20.6923076923
0,i,18,18,2.1355858354,150,4.3725452983,255,-40.5,132,3.7037037037,83.5,-50.5,0.4,20,30,11.325,-4.7666666667
1,i,11,11,2.0892231435,145,4.3205920688,255,-39.5,67,3.6708860759,105,-42.5,0.4761904762,20,21,11.575,-6.0238095238
